,Price,Local,Surface,Bathroom,Floor
455,€ 123.000,1 ,37,1 ,1
456,€ 179.000,2 ,71,1 ,1
457,€ 287.000,3 ,80,2 ,2
458,€ 245.000,3 ,79,2 ,1
459,€ 365.000,3 ,80,1 ,3
460,€ 430.000,2 ,65,1 ,4
461,€ 148.000,2 ,53,1 ,1
462,€ 195.000,3 ,69,1 ,1
464,€ 175.000,2 ,74,1 ,4
465,€ 133.000,2 ,42,1 ,1
467,€ 179.000,3 ,80,2 ,1
468,€ 156.000,2 ,49,1 ,1
470,€ 113.000,1 ,37,1 ,1
471,€ 310.000,3 ,100,2 ,Piano rialzato
472,€ 890.000,5+ ,200,3 ,1
473,€ 980.000,5+ ,300,3+ ,3
475,€ 145.000,2 ,35,1 ,1
476,€ 229.000,3 ,82,2 ,Piano terra
477,€ 1.090.000,5+ ,200,3+ ,1
478,€ 870.000,3 ,88,1 ,4
479,€ 205.000,2 ,60,1 ,1
480,€ 258.000,3 ,75,2 ,2
481,€ 148.000,2 ,39,1 ,1
482,€ 1.020.000,5+ ,247,2 ,Piano terra
483,€ 760.000,5+ ,165,3 ,1
485,€ 159.000,3 ,80,1 ,4
487,€ 189.000,3 ,95,1 ,1
488,€ 285.000,3 ,100,2 ,Ultimo
489,€ 380.000,5+ ,100,2 ,5
490,€ 270.000,4 ,115,2 ,6
491,€ 139.000,2 ,60,1 ,Piano rialzato
494,€ 429.000,4 ,108,2 ,3
495,€ 1.500.000,5+ ,150,3 ,3
496,€ 1.450.000,5+ ,300,3 ,5
497,€ 168.000,3 ,65,1 ,1
499,€ 285.000,3 ,80,2 ,1
502,€ 149.000,2 ,58,1 ,Piano terra
506,€ 85.000,1 ,30,1 ,2
508,€ 229.000,4 ,110,2 ,Piano rialzato
509,€ 185.000,4 ,90,1 ,Piano rialzato
510,€ 199.000,3 ,127,1 ,1
512,€ 238.000,3 ,67,2 ,1
513,€ 930.000,4 ,120,2 ,Ultimo
514,€ 509.000,5 ,216,3 ,Ultimo
515,€ 255.000,3 ,95,2 ,2
516,€ 400.000,4 ,120,1 ,2
517,€ 259.000,4 ,136,1 ,1
518,€ 289.000,3 ,97,2 ,Ultimo
519,€ 310.000,4 ,90,3+ ,1
520,€ 235.000,4 ,116,1 ,1
521,€ 740.000,5+ ,200,3 ,Ultimo
522,€ 490.000,4 ,140,2 ,3
523,€ 380.000,4 ,150,2 ,Piano terra
524,€ 205.000,3 ,90,1 ,Piano rialzato
525,€ 179.000,3 ,81,1 ,3
526,€ 1.500.000,4 ,118,2 ,Ultimo
527,€ 239.000,3 ,93,1 ,2
528,€ 460.000,3 ,106,2 ,Piano terra
529,€ 400.000,5+ ,145,2 ,1
530,€ 259.000,4 ,108,1 ,5
532,€ 209.000,3 ,90,1 ,2
533,€ 955.000,4 ,113,2 ,1
534,€ 550.000,5+ ,170,2 ,2
535,€ 200.000,3 ,100,1 ,Ultimo
536,€ 169.000,2 ,63,1 ,2
537,€ 198.000,3 ,89,1 ,3
540,€ 260.000,3 ,148,2 ,1
542,€ 349.000,4 ,115,2 ,3
544,€ 750.000,4 ,225,3 ,Ultimo
545,€ 240.000,3 ,105,1 ,Ultimo
546,€ 2.350.000,5+ ,200,3 ,5
547,€ 1.660.000,5+ ,194,3 ,4
548,€ 649.000,2 ,70,1 ,4
549,€ 495.000,5 ,150,1 ,1
550,€ 199.000,2 ,50,1 ,Piano terra
551,€ 960.000,5 ,200,3 ,2
552,€ 249.000,3 ,140,2 ,1
553,€ 119.000,1 ,39,1 ,5
554,€ 630.000,5 ,167,2 ,3
555,€ 1.290.000,5+ ,200,3 ,4
556,€ 249.000,3 ,87,1 ,Ultimo
557,€ 465.000,5 ,127,2 ,1
558,€ 450,2 ,60,1 ,2
559,€ 125.000,1 ,43,1 ,1
560,€ 152.000,2 ,45,1 ,1
561,€ 360.000,5 ,171,2 ,3
562,€ 205.000,2 ,50,1 ,Piano terra
563,€ 249.000,4 ,115,2 ,2
564,€ 165.000,2 ,45,1 ,Piano terra
565,€ 179.000,3 ,80,2 ,1
